Temps t / s;Tension U_B1 / V;Tension U_A1 / V
0;-0,0089;4,055
0,02;-0,00935;4,04
0,04;-0,00995;4,03
0,06;-0,01035;4,005
0,08;-0,01085;3,99
0,1;-0,01135;3,97
0,12;-0,01195;3,955
0,14;-0,0126;3,935
0,16;-0,01255;3,915
0,18;-0,013;3,895
0,2;-0,01355;3,875
0,22;-0,01385;3,855
0,24;-0,01395;3,83
0,26;-0,014;3,81
0,28;-0,0143;3,79
0,3;-0,01465;3,765
0,32;-0,01505;3,745
0,34;-0,0155;3,72
0,36;-0,0158;3,7
0,38;-0,016;3,675
0,4;-0,01605;3,65
0,42;-0,01595;3,625
0,44;-0,01595;3,6
0,46;-0,01585;3,575
0,48;-0,0157;3,555
0,5;-0,0154;3,535
0,52;-0,01515;3,51
0,54;-0,01475;3,49
0,56;-0,01405;3,465
0,58;-0,01405;3,445
0,6;-0,01395;3,425
0,62;-0,01365;3,405
0,64;-0,0136;3,38
0,66;-0,013;3,36
0,68;-0,01235;3,345
0,7;-0,01205;3,325
0,72;-0,01145;3,305
0,74;-0,01085;3,29
0,76;-0,01015;3,275
0,78;-0,0094;3,26
0,8;-0,00855;3,245
0,82;-0,0077;3,235
0,84;-0,0069;3,22
0,86;-0,00585;3,21
0,88;-0,00505;3,205
0,9;-0,004;3,19
0,92;-0,0029;3,185
0,94;-0,0019;3,18
0,96;-0,0009;3,175
0,98;-0,0001;3,175
1;0,00085;3,175
1,02;0,0018;3,175
1,04;0,0029;3,17
1,06;0,00395;3,17
1,08;0,0048;3,18
1,1;0,006;3,18
1,12;0,007;3,19
1,14;0,00785;3,195
1,16;0,00865;3,205
1,18;0,0096;3,21
1,2;0,0104;3,22
1,22;0,01155;3,23
1,24;0,0125;3,245
1,26;0,0128;3,26
1,28;0,0134;3,275
1,3;0,014;3,285
1,32;0,0144;3,305
1,34;0,015;3,32
1,36;0,0157;3,335
1,38;0,01625;3,35
1,4;0,01685;3,37
1,42;0,01735;3,39
1,44;0,018;3,41
1,46;0,01875;3,43
1,48;0,0193;3,45
1,5;0,0198;3,475
1,52;0,0203;3,495
1,54;0,02045;3,515
1,56;0,0205;3,54
1,58;0,02055;3,56
1,6;0,02055;3,585
1,62;0,02065;3,61
1,64;0,02095;3,635
1,66;0,02085;3,655
1,68;0,0209;3,68
1,7;0,021;3,7
1,72;0,021;3,725
1,74;0,02095;3,75
1,76;0,0209;3,77
1,78;0,0207;3,795
1,8;0,0204;3,815
1,82;0,0203;3,835
1,84;0,02015;3,86
1,86;0,01985;3,885
1,88;0,01995;3,905
1,9;0,01905;3,925
1,92;0,0186;3,945
1,94;0,0183;3,965
1,96;0,018;3,99
1,98;0,01775;4,005
2;0,01755;4,025
2,02;0,01705;4,04
2,04;0,01635;4,06
2,06;0,0158;4,07
2,08;0,0151;4,09
2,1;0,0146;4,105
2,12;0,01405;4,12
2,14;0,0133;4,13
2,16;0,0128;4,145
2,18;0,01225;4,16
2,2;0,0115;4,17
2,22;0,01075;4,185
2,24;0,0103;4,19
2,26;0,00955;4,195
2,28;0,00895;4,205
2,3;0,00825;4,215
2,32;0,00755;4,22
2,34;0,00665;4,225
2,36;0,00605;4,23
2,38;0,0054;4,235
2,4;0,0047;4,235
2,42;0,00405;4,235
2,44;0,0032;4,24
2,46;0,00265;4,24
2,48;0,00205;4,235
2,5;0,0014;4,235
2,52;0,00075;4,235
2,54;0;4,23
2,56;-0,0005;4,225
2,58;-0,00125;4,22
2,6;-0,00195;4,215
2,62;-0,0025;4,21
2,64;-0,00295;4,205
2,66;-0,00355;4,195
2,68;-0,00425;4,185
2,7;-0,00505;4,175
2,72;-0,00565;4,165
2,74;-0,00645;4,155
2,76;-0,0071;4,145
2,78;-0,0071;4,13
2,8;-0,00755;4,115
2,82;-0,00835;4,105
2,84;-0,009;4,09
2,86;-0,00965;4,075
2,88;-0,0102;4,06
2,9;-0,01065;4,045
2,92;-0,0111;4,025
2,94;-0,01175;4,01
2,96;-0,012;3,99
2,98;-0,0126;3,97
3;-0,01305;3,955
3,02;-0,01345;3,93
3,04;-0,01355;3,905
3,06;-0,01425;3,89
3,08;-0,01455;3,87
3,1;-0,0147;3,845
3,12;-0,0149;3,825
3,14;-0,015;3,805
3,16;-0,0154;3,78
3,18;-0,0158;3,755
3,2;-0,01625;3,73
3,22;-0,01655;3,71
3,24;-0,01665;3,685
3,26;-0,0167;3,66
3,28;-0,0168;3,64
3,3;-0,01675;3,61
3,32;-0,01665;3,59
3,34;-0,0164;3,565
3,36;-0,0162;3,545
3,38;-0,01595;3,52
3,4;-0,01555;3,495
3,42;-0,015;3,475
3,44;-0,0147;3,455
3,46;-0,01465;3,43
3,48;-0,01435;3,415
3,5;-0,01415;3,39
3,52;-0,0137;3,375
3,54;-0,0132;3,35
3,56;-0,0128;3,335
3,58;-0,0123;3,315
3,6;-0,0117;3,3
3,62;-0,01095;3,285
3,64;-0,0101;3,265
3,66;-0,0094;3,25
